nmax : 
15
Wavelength (micrometers) : 
0.5
Re(nmat) : 
1.5
radius
0.25
Re (nincl) : Im (ninc)
1.8
0.1


SphericalTMatrix          
--------------------------
nmax    :    15
dimtn   :   510
--------------------------
   i_    n    m        re(Tmatrix)        im(Tmatrix)
  196   14   14   -5.302033234e-14    1.406705302e-13
  197   14   13   -5.302033234e-14    1.406705302e-13
  198   14   12   -5.302033234e-14    1.406705302e-13
  199   14   11   -5.302033234e-14    1.406705302e-13
  200   14   10   -5.302033234e-14    1.406705302e-13
  201   14    9   -5.302033234e-14    1.406705302e-13
  202   14    8   -5.302033234e-14    1.406705302e-13
  203   14    7   -5.302033234e-14    1.406705302e-13
  204   14    6   -5.302033234e-14    1.406705302e-13
  205   14    5   -5.302033234e-14    1.406705302e-13
  206   14    4   -5.302033234e-14    1.406705302e-13
  207   14    3   -5.302033234e-14    1.406705302e-13
  208   14    2   -5.302033234e-14    1.406705302e-13
  209   14    1   -5.302033234e-14    1.406705302e-13
  210   14    0   -5.302033234e-14    1.406705302e-13
  211   14   -1   -5.302033234e-14    1.406705302e-13
  212   14   -2   -5.302033234e-14    1.406705302e-13
  213   14   -3   -5.302033234e-14    1.406705302e-13
  214   14   -4   -5.302033234e-14    1.406705302e-13
  215   14   -5   -5.302033234e-14    1.406705302e-13
  216   14   -6   -5.302033234e-14    1.406705302e-13
  217   14   -7   -5.302033234e-14    1.406705302e-13
  218   14   -8   -5.302033234e-14    1.406705302e-13
  219   14   -9   -5.302033234e-14    1.406705302e-13
  220   14  -10   -5.302033234e-14    1.406705302e-13
  221   14  -11   -5.302033234e-14    1.406705302e-13
  222   14  -12   -5.302033234e-14    1.406705302e-13
  223   14  -13   -5.302033234e-14    1.406705302e-13
  224   14  -14   -5.302033234e-14    1.406705302e-13
  225   15   15   -1.190251377e-15    3.168480287e-15
  226   15   14   -1.190251377e-15    3.168480287e-15
  227   15   13   -1.190251377e-15    3.168480287e-15
  228   15   12   -1.190251377e-15    3.168480287e-15
  229   15   11   -1.190251377e-15    3.168480287e-15
  230   15   10   -1.190251377e-15    3.168480287e-15
  231   15    9   -1.190251377e-15    3.168480287e-15
  232   15    8   -1.190251377e-15    3.168480287e-15
  233   15    7   -1.190251377e-15    3.168480287e-15
  234   15    6   -1.190251377e-15    3.168480287e-15
  235   15    5   -1.190251377e-15    3.168480287e-15
  236   15    4   -1.190251377e-15    3.168480287e-15
  237   15    3   -1.190251377e-15    3.168480287e-15
  238   15    2   -1.190251377e-15    3.168480287e-15
  239   15    1   -1.190251377e-15    3.168480287e-15
  240   15    0   -1.190251377e-15    3.168480287e-15
  241   15   -1   -1.190251377e-15    3.168480287e-15
  242   15   -2   -1.190251377e-15    3.168480287e-15
  243   15   -3   -1.190251377e-15    3.168480287e-15
  244   15   -4   -1.190251377e-15    3.168480287e-15
  245   15   -5   -1.190251377e-15    3.168480287e-15
  246   15   -6   -1.190251377e-15    3.168480287e-15
  247   15   -7   -1.190251377e-15    3.168480287e-15
