nmax : 
25
Wavelength (micrometers) : 
0.555
Re(nmat) : 
1.6
radius
0.632
Re (nincl) : Im (ninc)
2.75
1.72

SphericalTMatrix          
--------------------------
nmax    :    25
dimtn   :  1350
--------------------------
   i_    n    m        re(Tmatrix)        im(Tmatrix)
  185   13   -3   -3.004522064e-02   -4.647053350e-02
  186   13   -4   -3.004522064e-02   -4.647053350e-02
  187   13   -5   -3.004522064e-02   -4.647053350e-02
  188   13   -6   -3.004522064e-02   -4.647053350e-02
  189   13   -7   -3.004522064e-02   -4.647053350e-02
  190   13   -8   -3.004522064e-02   -4.647053350e-02
  191   13   -9   -3.004522064e-02   -4.647053350e-02
  192   13  -10   -3.004522064e-02   -4.647053350e-02
  193   13  -11   -3.004522064e-02   -4.647053350e-02
  194   13  -12   -3.004522064e-02   -4.647053350e-02
  195   13  -13   -3.004522064e-02   -4.647053350e-02
  196   14   14   -8.741579974e-03   -1.136766176e-02
  197   14   13   -8.741579974e-03   -1.136766176e-02
  198   14   12   -8.741579974e-03   -1.136766176e-02
  199   14   11   -8.741579974e-03   -1.136766176e-02
  200   14   10   -8.741579974e-03   -1.136766176e-02
  201   14    9   -8.741579974e-03   -1.136766176e-02
  202   14    8   -8.741579974e-03   -1.136766176e-02
  203   14    7   -8.741579974e-03   -1.136766176e-02
  204   14    6   -8.741579974e-03   -1.136766176e-02
  205   14    5   -8.741579974e-03   -1.136766176e-02
  206   14    4   -8.741579974e-03   -1.136766176e-02
  207   14    3   -8.741579974e-03   -1.136766176e-02
  208   14    2   -8.741579974e-03   -1.136766176e-02
  209   14    1   -8.741579974e-03   -1.136766176e-02
  210   14    0   -8.741579974e-03   -1.136766176e-02
  211   14   -1   -8.741579974e-03   -1.136766176e-02
  212   14   -2   -8.741579974e-03   -1.136766176e-02
  213   14   -3   -8.741579974e-03   -1.136766176e-02
  214   14   -4   -8.741579974e-03   -1.136766176e-02
  215   14   -5   -8.741579974e-03   -1.136766176e-02
  216   14   -6   -8.741579974e-03   -1.136766176e-02
  217   14   -7   -8.741579974e-03   -1.136766176e-02
  218   14   -8   -8.741579974e-03   -1.136766176e-02
  219   14   -9   -8.741579974e-03   -1.136766176e-02
  220   14  -10   -8.741579974e-03   -1.136766176e-02
  221   14  -11   -8.741579974e-03   -1.136766176e-02
  222   14  -12   -8.741579974e-03   -1.136766176e-02
  223   14  -13   -8.741579974e-03   -1.136766176e-02
  224   14  -14   -8.741579974e-03   -1.136766176e-02
  225   15   15   -1.978983567e-03   -2.111214358e-03
  226   15   14   -1.978983567e-03   -2.111214358e-03
  227   15   13   -1.978983567e-03   -2.111214358e-03
  228   15   12   -1.978983567e-03   -2.111214358e-03
  229   15   11   -1.978983567e-03   -2.111214358e-03
  230   15   10   -1.978983567e-03   -2.111214358e-03
  231   15    9   -1.978983567e-03   -2.111214358e-03
  232   15    8   -1.978983567e-03   -2.111214358e-03
  233   15    7   -1.978983567e-03   -2.111214358e-03
  234   15    6   -1.978983567e-03   -2.111214358e-03
  235   15    5   -1.978983567e-03   -2.111214358e-03
  236   15    4   -1.978983567e-03   -2.111214358e-03
  237   15    3   -1.978983567e-03   -2.111214358e-03
  238   15    2   -1.978983567e-03   -2.111214358e-03
  239   15    1   -1.978983567e-03   -2.111214358e-03
  240   15    0   -1.978983567e-03   -2.111214358e-03
  241   15   -1   -1.978983567e-03   -2.111214358e-03
  242   15   -2   -1.978983567e-03   -2.111214358e-03
  243   15   -3   -1.978983567e-03   -2.111214358e-03
  244   15   -4   -1.978983567e-03   -2.111214358e-03
  245   15   -5   -1.978983567e-03   -2.111214358e-03
  246   15   -6   -1.978983567e-03   -2.111214358e-03
  247   15   -7   -1.978983567e-03   -2.111214358e-03
  248   15   -8   -1.978983567e-03   -2.111214358e-03
  249   15   -9   -1.978983567e-03   -2.111214358e-03
  250   15  -10   -1.978983567e-03   -2.111214358e-03
  251   15  -11   -1.978983567e-03   -2.111214358e-03
  252   15  -12   -1.978983567e-03   -2.111214358e-03
  253   15  -13   -1.978983567e-03   -2.111214358e-03
  254   15  -14   -1.978983567e-03   -2.111214358e-03
  255   15  -15   -1.978983567e-03   -2.111214358e-03
  256   16   16   -3.553530127e-04   -3.151213815e-04
  257   16   15   -3.553530127e-04   -3.151213815e-04
  258   16   14   -3.553530127e-04   -3.151213815e-04
  259   16   13   -3.553530127e-04   -3.151213815e-04
  260   16   12   -3.553530127e-04   -3.151213815e-04
  261   16   11   -3.553530127e-04   -3.151213815e-04
  262   16   10   -3.553530127e-04   -3.151213815e-04
  263   16    9   -3.553530127e-04   -3.151213815e-04
  264   16    8   -3.553530127e-04   -3.151213815e-04
  265   16    7   -3.553530127e-04   -3.151213815e-04
  266   16    6   -3.553530127e-04   -3.151213815e-04
  267   16    5   -3.553530127e-04   -3.151213815e-04
  268   16    4   -3.553530127e-04   -3.151213815e-04
  269   16    3   -3.553530127e-04   -3.151213815e-04
  270   16    2   -3.553530127e-04   -3.151213815e-04
  271   16    1   -3.553530127e-04   -3.151213815e-04
  272   16    0   -3.553530127e-04   -3.151213815e-04
  273   16   -1   -3.553530127e-04   -3.151213815e-04
  274   16   -2   -3.553530127e-04   -3.151213815e-04
  275   16   -3   -3.553530127e-04   -3.151213815e-04
  276   16   -4   -3.553530127e-04   -3.151213815e-04
  277   16   -5   -3.553530127e-04   -3.151213815e-04
  278   16   -6   -3.553530127e-04   -3.151213815e-04
  279   16   -7   -3.553530127e-04   -3.151213815e-04
  280   16   -8   -3.553530127e-04   -3.151213815e-04
  281   16   -9   -3.553530127e-04   -3.151213815e-04
  282   16  -10   -3.553530127e-04   -3.151213815e-04
  283   16  -11   -3.553530127e-04   -3.151213815e-04
  284   16  -12   -3.553530127e-04   -3.151213815e-04
  285   16  -13   -3.553530127e-04   -3.151213815e-04
  286   16  -14   -3.553530127e-04   -3.151213815e-04
  287   16  -15   -3.553530127e-04   -3.151213815e-04
  288   16  -16   -3.553530127e-04   -3.151213815e-04
  289   17   17   -5.242408544e-05   -3.919518938e-05
  290   17   16   -5.242408544e-05   -3.919518938e-05
  291   17   15   -5.242408544e-05   -3.919518938e-05
  292   17   14   -5.242408544e-05   -3.919518938e-05
  293   17   13   -5.242408544e-05   -3.919518938e-05
  294   17   12   -5.242408544e-05   -3.919518938e-05
  295   17   11   -5.242408544e-05   -3.919518938e-05
  296   17   10   -5.242408544e-05   -3.919518938e-05
  297   17    9   -5.242408544e-05   -3.919518938e-05
  298   17    8   -5.242408544e-05   -3.919518938e-05
  299   17    7   -5.242408544e-05   -3.919518938e-05
  300   17    6   -5.242408544e-05   -3.919518938e-05
  301   17    5   -5.242408544e-05   -3.919518938e-05
  302   17    4   -5.242408544e-05   -3.919518938e-05
  303   17    3   -5.242408544e-05   -3.919518938e-05
  304   17    2   -5.242408544e-05   -3.919518938e-05
  305   17    1   -5.242408544e-05   -3.919518938e-05
  306   17    0   -5.242408544e-05   -3.919518938e-05
  307   17   -1   -5.242408544e-05   -3.919518938e-05
  308   17   -2   -5.242408544e-05   -3.919518938e-05
  309   17   -3   -5.242408544e-05   -3.919518938e-05
  310   17   -4   -5.242408544e-05   -3.919518938e-05
  311   17   -5   -5.242408544e-05   -3.919518938e-05
  312   17   -6   -5.242408544e-05   -3.919518938e-05
  313   17   -7   -5.242408544e-05   -3.919518938e-05
  314   17   -8   -5.242408544e-05   -3.919518938e-05
  315   17   -9   -5.242408544e-05   -3.919518938e-05
  316   17  -10   -5.242408544e-05   -3.919518938e-05
  317   17  -11   -5.242408544e-05   -3.919518938e-05
  318   17  -12   -5.242408544e-05   -3.919518938e-05
  319   17  -13   -5.242408544e-05   -3.919518938e-05
  320   17  -14   -5.242408544e-05   -3.919518938e-05
  321   17  -15   -5.242408544e-05   -3.919518938e-05
  322   17  -16   -5.242408544e-05   -3.919518938e-05
  323   17  -17   -5.242408544e-05   -3.919518938e-05
  324   18   18   -6.526922203e-06   -4.152130032e-06
  325   18   17   -6.526922203e-06   -4.152130032e-06
  326   18   16   -6.526922203e-06   -4.152130032e-06
  327   18   15   -6.526922203e-06   -4.152130032e-06
  328   18   14   -6.526922203e-06   -4.152130032e-06
  329   18   13   -6.526922203e-06   -4.152130032e-06
  330   18   12   -6.526922203e-06   -4.152130032e-06
  331   18   11   -6.526922203e-06   -4.152130032e-06
  332   18   10   -6.526922203e-06   -4.152130032e-06
  333   18    9   -6.526922203e-06   -4.152130032e-06
  334   18    8   -6.526922203e-06   -4.152130032e-06
  335   18    7   -6.526922203e-06   -4.152130032e-06
  336   18    6   -6.526922203e-06   -4.152130032e-06
  337   18    5   -6.526922203e-06   -4.152130032e-06
  338   18    4   -6.526922203e-06   -4.152130032e-06
  339   18    3   -6.526922203e-06   -4.152130032e-06
  340   18    2   -6.526922203e-06   -4.152130032e-06
  341   18    1   -6.526922203e-06   -4.152130032e-06
  342   18    0   -6.526922203e-06   -4.152130032e-06
  343   18   -1   -6.526922203e-06   -4.152130032e-06
  344   18   -2   -6.526922203e-06   -4.152130032e-06
  345   18   -3   -6.526922203e-06   -4.152130032e-06
  346   18   -4   -6.526922203e-06   -4.152130032e-06
  347   18   -5   -6.526922203e-06   -4.152130032e-06
  348   18   -6   -6.526922203e-06   -4.152130032e-06
  349   18   -7   -6.526922203e-06   -4.152130032e-06
  350   18   -8   -6.526922203e-06   -4.152130032e-06
  351   18   -9   -6.526922203e-06   -4.152130032e-06
  352   18  -10   -6.526922203e-06   -4.152130032e-06
  353   18  -11   -6.526922203e-06   -4.152130032e-06
  354   18  -12   -6.526922203e-06   -4.152130032e-06
  355   18  -13   -6.526922203e-06   -4.152130032e-06
  356   18  -14   -6.526922203e-06   -4.152130032e-06
  357   18  -15   -6.526922203e-06   -4.152130032e-06
  358   18  -16   -6.526922203e-06   -4.152130032e-06
  359   18  -17   -6.526922203e-06   -4.152130032e-06
  360   18  -18   -6.526922203e-06   -4.152130032e-06
